pop ind neand den ambig null
RPS RPS001 45120739 3825038 1596716 131267243
RPS RPS004 50215636 3400597 2151272 133510498
RPS RPS009 48484132 3704338 1163749 134396964
RPS RPS013 45810460 3383095 1665780 125851033
RPS RPS015 48091461 5008527 1904929 141112179
RPS RPS018 48529634 6215833 2187576 121228884
RPS RPS020 48508811 5583931 1675559 121677078
RPS RPS027 50903671 4037211 2103028 139415396
RPS RPS028 47194083 3426925 2257498 131772973
RPS RPS031 47923729 5096833 1444768 126163197
PNG UV043 38317784 39366936 8523858 107347797
PNG UV1003 39831856 33528271 8840103 111058524
PNG UV1043 37490769 37878744 9009914 106632088
PNG UV1134 39743543 34745202 8737868 104440337
PNG UV1196 38209201 28335501 7896467 109610926
PNG UV1224 41500490 41357214 7894043 110807754
PNG UV1230 39321066 29590165 8424209 107459669
PNG UV1260 39391534 32091829 9445430 108952000
PNG UV1263 44164284 33005014 9480639 108822486
PNG UV305 44352479 34963165 9289887 104535937
PNG UV500 38934675 32093400 9829986 113008284
PNG UV518 38918874 31216502 8196372 114763131
PNG UV580 44540536 33795405 9523822 114694664
PNG UV886 35659206 29066733 8121203 104597165
PNG UV897 34627434 27338702 8807086 108254867
PNG UV910 39092057 26768768 8591856 105973803
PNG UV919 39782173 31322785 9520589 109116459
PNG UV923 38268832 33804347 7824012 109222937
PNG UV925 42447440 29831905 8019399 108517107
PNG UV929 42790808 29699996 9076901 106994795
PNG UV931 40740226 29743286 8538779 108214916
PNG UV940 42589148 30507231 8657914 102998315
PNG UV944 42203658 26540766 8134761 114166044
PNG UV958 39187694 29421532 8344339 112019078
PNG UV964 38583117 34656653 8354005 112279603
PNG UV971 41758739 30406119 8317211 107461988
PNG UV986 42715422 33118837 9336917 108000367
CHB NA18525 53718231 354383 8773 93127650
CHB NA18526 49404469 576091 49190 85583497
CHB NA18528 56630994 177095 14970 98228751
CHB NA18530 49812251 333803 0 79072945
CHB NA18531 55133312 340047 0 95453168
CHB NA18532 54043338 581334 46902 100760205
CHB NA18533 53199029 239646 12587 95173683
CHB NA18534 56901082 336088 56673 78884686
CHB NA18535 61331548 396240 0 87461676
CHB NA18536 53889826 478005 0 94811697
CHB NA18537 50474729 507180 0 76209254
CHB NA18538 57640287 476275 15662 95814345
CHB NA18539 57305014 323307 0 86593612
CHB NA18541 56150908 597755 37970 92492570
CHB NA18542 55928429 355746 60000 101935825
CHB NA18543 58739979 333556 37305 99586380
CHB NA18544 56759541 318555 12587 95967415
CHB NA18545 54585494 185323 0 89217835
CHB NA18546 57405503 312067 68588 99394662
CHB NA18547 54163228 753284 0 96818545
CHB NA18548 57760638 677825 36947 93945102
CHB NA18549 56249188 263928 0 99496603
CHB NA18550 55698206 141911 37970 93470821
CHB NA18552 57739456 377723 0 94286758
CHB NA18553 56561309 128703 27369 98319732
CHB NA18555 53973724 660812 0 85438900
CHB NA18557 52812389 408123 0 97975816
CHB NA18558 52586945 297337 0 90120746
CHB NA18559 50349903 408707 31240 93857194
CHB NA18560 51839462 621378 73896 96802866
CHB NA18561 52425794 539004 14155 95033709
CHB NA18562 54539415 503693 145349 92686429
CHB NA18563 57012726 504199 0 105425245
CHB NA18564 53293969 346435 7260 102838087
CHB NA18565 55967484 357576 0 94474158
CHB NA18566 52682749 410410 0 91272880
CHB NA18567 56226354 211298 69299 92867391
CHB NA18570 53516064 392758 12054 97726733
CHB NA18571 55895129 252772 0 97109663
CHB NA18572 57139157 244041 0 84058979
CHB NA18573 53934747 683697 23093 99137439
CHB NA18574 57941842 875114 54198 93064607
CHB NA18577 53517548 549015 60312 97485495
CHB NA18579 55367577 293446 0 99993951
CHB NA18582 56535646 490049 93317 99149709
CHB NA18591 50580666 652385 30154 91007336
CHB NA18592 51902760 397602 0 90616869
CHB NA18593 55362525 529723 15662 96777862
CHB NA18595 54748316 520473 0 90554581
CHB NA18596 52909585 296193 0 92740599
CHB NA18597 53832402 485807 38172 95480543
CHB NA18599 54817892 298119 0 95093459
CHB NA18602 51476021 263250 0 86326893
CHB NA18603 58936767 404381 0 97989084
CHB NA18605 54005546 414332 0 98998822
CHB NA18606 56271055 40682 0 90520034
CHB NA18608 51705693 136644 0 98292080
CHB NA18609 54568588 244523 0 82114371
CHB NA18610 51117727 95615 0 94987544
CHB NA18611 52609813 120675 36948 87116698
CHB NA18612 55428174 171014 0 96623613
CHB NA18613 57417845 199195 0 81293228
CHB NA18614 53634169 235937 0 94853659
CHB NA18615 50472462 726223 41923 91513358
CHB NA18616 55349250 471137 39228 101243327
CHB NA18617 54484420 340002 0 96260659
CHB NA18618 64606888 574505 14155 81065190
CHB NA18619 50683700 529355 14155 82256710
CHB NA18620 53927360 424664 38172 96458415
CHB NA18621 52774858 396853 15662 96286426
CHB NA18622 52721450 460229 0 102220602
CHB NA18623 52190667 323939 0 95606821
CHB NA18624 54582809 447948 30416 96955654
CHB NA18625 53473662 284669 0 88068500
CHB NA18626 52750594 403573 0 99120944
CHB NA18627 54433567 110215 0 93763651
CHB NA18628 51576456 466111 0 92665771
CHB NA18629 53717679 400770 0 89631578
CHB NA18630 48002594 384169 0 78498637
CHB NA18631 47962392 239098 0 92602911
CHB NA18632 54056467 250198 23093 93196722
CHB NA18633 57777965 354424 0 93356676
CHB NA18634 55425945 470419 0 93059303
CHB NA18635 52024451 405094 23093 93380442
CHB NA18636 59299160 632826 54311 101510999
CHB NA18637 55436580 309065 0 96347352
CHB NA18638 54067616 290971 0 96955580
CHB NA18639 54068186 685361 0 88223571
CHB NA18640 56080621 372922 0 91102063
CHB NA18641 56958694 639769 23093 94285115
CHB NA18642 56112008 385801 57719 87769769
CHB NA18643 51713672 204321 0 92514688
CHB NA18644 49602216 380734 23093 88686374
CHB NA18645 56008307 248966 0 88822264
CHB NA18646 52488996 349300 0 92220430
CHB NA18647 56569002 150044 41923 96361949
CHB NA18648 55676050 327887 39739 86671462
CHB NA18740 60184669 230427 0 94559835
CHB NA18745 56243656 342886 0 89854121
CHB NA18747 57593455 394778 38172 98159404
CHB NA18748 53899847 737529 53808 91550406
CHB NA18749 51980467 230149 0 99624913
CHB NA18757 53926881 155385 37970 89603424
GBR HG00096 41235686 0 0 98119266
GBR HG00097 45677653 0 0 100997867
GBR HG00099 40319483 0 0 97050548
GBR HG00100 41015441 0 0 103962070
GBR HG00101 40097052 0 0 94915496
GBR HG00102 41419146 0 0 93275540
GBR HG00103 46141152 0 0 97763272
GBR HG00105 43020203 0 0 97364993
GBR HG00106 42452950 0 0 99832682
GBR HG00107 40972892 0 0 98206220
GBR HG00108 43310982 0 0 97818794
GBR HG00109 42777043 0 0 97772190
GBR HG00110 46358128 0 0 96988920
GBR HG00111 46184960 0 0 98814312
GBR HG00112 41333767 0 0 97867490
GBR HG00113 42051311 0 0 99577533
GBR HG00114 42257944 0 0 98410092
GBR HG00115 42436424 0 0 103139467
GBR HG00116 44498170 0 0 101684910
GBR HG00117 41559702 0 0 95923206
GBR HG00118 38922543 0 0 99893761
GBR HG00119 46988816 0 0 100848907
GBR HG00120 45968088 0 0 98278009
GBR HG00121 42203861 0 0 101385095
GBR HG00122 45316594 0 0 94187449
GBR HG00123 40131557 0 0 103161678
GBR HG00125 37877159 0 0 91728457
GBR HG00126 39292950 0 0 95423400
GBR HG00127 42688832 0 0 93123837
GBR HG00128 38684280 0 0 102606580
GBR HG00129 38408893 0 0 97559409
GBR HG00130 43543941 0 0 93606453
GBR HG00131 46401156 0 0 94155725
GBR HG00132 41232030 0 0 99380959
GBR HG00133 45375841 0 0 100461383
GBR HG00136 39050535 0 0 88027809
GBR HG00137 40552685 0 0 88478879
GBR HG00138 45674672 0 0 97454340
GBR HG00139 41080077 0 0 101325112
GBR HG00140 38999118 0 0 98155329
GBR HG00141 40479824 0 0 106192331
GBR HG00142 46592988 0 0 88740606
GBR HG00143 43898693 0 0 96146882
GBR HG00145 39052423 0 0 95629391
GBR HG00146 43972726 0 0 96239234
GBR HG00148 44302996 0 0 103147712
GBR HG00149 43792971 0 0 101586071
GBR HG00150 42479007 0 0 93553601
GBR HG00151 44037540 0 0 87500143
GBR HG00154 42980194 0 0 96541492
GBR HG00155 37959279 0 0 96325801
GBR HG00157 37570491 0 0 93532688
GBR HG00158 39136516 0 0 97426896
GBR HG00159 38640695 0 0 97309201
GBR HG00160 43916347 0 0 94930771
GBR HG00231 40382895 0 0 91551187
GBR HG00232 45800513 0 0 90956503
GBR HG00233 45131442 0 0 102855761
GBR HG00234 42548137 0 0 91035660
GBR HG00235 42306308 0 0 93708312
GBR HG00236 45190318 0 0 99593934
GBR HG00237 47067685 0 0 100154249
GBR HG00238 45114428 0 0 98355867
GBR HG00239 43772691 0 0 101686862
GBR HG00240 45153585 0 0 101023323
GBR HG00242 43910803 0 0 97535374
GBR HG00243 42260467 0 0 100098568
GBR HG00244 45589486 0 0 100082648
GBR HG00245 39021109 0 0 91840549
GBR HG00246 38678624 0 0 94892953
GBR HG00250 43695754 0 0 101826943
GBR HG00251 40764868 0 0 104166198
